Question,Entry Point,Request,openai/gpt-5-mini,gemini/gemini-3-flash-preview,anthropic/claude-haiku-4-5,zai/glm-5,Desirable Response,,Optimization Method
What can you do?,Deep Research Agent,,"I can do four main things:
Build agents end-to-end
Design graph (2–4 nodes), prompts, tools, edges
Implement files under exports/{agent_name}
Validate with:
default_agent.validate()
AgentRunner.load(...)
validate_agent_tools(...)
run_agent_tests(...)
Load the built agent into this session immediately
Modify/fix existing agents
Debug load failures, unreachable nodes, bad exports, tool mismatches
Inspect sessions/checkpoints/memory for failing runs
Patch code and re-test until passing
Do general coding tasks directly
Read/edit/write files
Run shell commands/tests
Refactor, add features, fix bugs
Run the research worker when appropriate
It can perform interactive web research with citations and produce reports
I can start it, monitor progress, pass your instructions, and stop it if needed
If you want, give me one concrete task now (build, fix, or research), and I’ll start.",,"What I Can Do
Agent Building & Development
Design agents — Understand your use case, propose architecture, get approval
Implement agents — Write all files (config, nodes, graph, tests) following framework conventions
Validate & test — Run structural validation, tool checks, and pytest suites
Debug agents — Inspect session state, memory, checkpoints, execution logs
Read & modify code — Consult reference agents, fix bugs, refactor
Code & File Work
Read/write/edit files with fuzzy matching
Search codebases with regex
Run shell commands (Python, tests, builds)
Undo changes via git
Agent Lifecycle
List agents — See all built agents and their session counts
Monitor sessions — Check status, memory, checkpoints of running agents
Load agents — Make a built agent available as the worker in this session
Run tests — Execute pytest on agent test suites with structured results
Worker Delegation
Start the worker — Give it a research task; it runs autonomously
Monitor progress — Check status, health, recent steps
Send messages — Inject instructions while it's running
Stop execution — Cancel the worker's current task
Critical Rules I Follow
Read before writing — Never assume code structure; read reference agents first
Verify tools — Always discover available tools dynamically; never guess
Test after building — Validate structure, load, tools, then run tests
Professional defaults — Use framework patterns exactly; no shortcuts
2-4 nodes MAX — Merge thin nodes aggressively to preserve context
What's your next move?","Direct capabilities (I do these myself):

Category        What I can do
File operations        Read, write, edit, search, list files anywhere in the project
Shell commands        Run any command (tests, scripts, git, etc.)
Agent building        Design and implement Hive agents from scratch
Validation        Test agent structure, verify tools exist, run pytest
Debugging        Inspect sessions, checkpoints, memory for built agents
Code changes        Any coding task — bug fixes, features, refactoring
Delegation capability:

The deep research worker can search the web, scrape sources, and produce cited reports. I delegate to it when you need research on a topic.

Typical workflows:

""Build me an agent that..."" → I design (2-4 nodes), implement, validate, and load it into this session
""Debug my failing agent"" → I inspect sessions, checkpoints, memory to find the issue
""Research X topic"" → I start the worker to search and compile findings
""Change this code"" → I read, edit, and test directly
Limits:

I don't fabricate tools — I verify what exists first
I follow existing patterns, not assumptions
I validate before declaring success
What do you need?","Direct capabilities (I do these myself):

Category        What I can do
File operations        Read, write, edit, search, list files anywhere in the project
Shell commands        Run any command (tests, scripts, git, etc.)
Agent building        Design and implement Hive agents from scratch
Validation        Test agent structure, verify tools exist, run pytest
Debugging        Inspect sessions, checkpoints, memory for built agents
Code changes        Any coding task — bug fixes, features, refactoring
Delegation capability:

The deep research worker can search the web, scrape sources, and produce cited reports. I delegate to it when you need research on a topic.

Typical workflows:

""Build me an agent that..."" → I design (2-4 nodes), implement, validate, and load it into this session
""Debug my failing agent"" → I inspect sessions, checkpoints, memory to find the issue
""Research X topic"" → I start the worker to search and compile findings
""Change this code"" → I read, edit, and test directly
Limits:

I don't fabricate tools — I verify what exists first
I follow existing patterns, not assumptions
I validate before declaring success
What do you need?",,System Prompt
What can you do?,Passive Vulnerability Assessment,,,"I have two primary roles: as your primary coding interface and as the manager of the Hive framework.

1. Direct Coding & Agent Building
I can handle any technical task involving the framework or general software development:

Build New Agents: I can design, implement, and verify custom agents in the exports/ directory.
Modify & Debug: I can read existing code, fix bugs, or expand the capabilities of your current agents.
Framework Management: I can discover tools via MCP, run validation tests, and manage agent sessions.
Direct File Operations: I can read, write, and edit files across the project.
2. Specialized Security Worker
I currently have a Vulnerability Assessment worker loaded and ready. This worker is specialized for:

Passive Reconnaissance: Non-intrusive scanning of websites (SSL, DNS, Headers, Ports, Tech Stack).
Risk Scoring: Generating A-F letter grades for different security categories.
Remediation Reporting: Providing actionable security guidance for developers.
How would you like to proceed? I can start a security scan for you, or we can work on building/modifying something in the codebase.","I'm a coding agent with deep Hive framework integration. Here's what I can do:

File I/O
Read/write/edit files with line numbers and fuzzy matching
Search files with regex
Run shell commands with PYTHONPATH pre-configured
Undo changes via git snapshots
Agent Building (Full Lifecycle)
Understand & design — Listen to your requirements, surface problems early, play back a concrete architecture before I build
Implement — Write agent code following framework conventions (nodes, edges, system prompts, tool integration)
Verify — Run four validation steps (class validation, runner load test, tool validation, pytest) and fix errors myself
Load into session — Make the agent immediately available to interact with (no manual CLI needed)
Agent Debugging
List agents and their sessions
Inspect session state, memory, checkpoints
Run test suites with structured result parsing
Trace execution flow and diagnose failures
Tool Discovery
List all available tools grouped by category
Discover MCP tool schemas with full parameter details
Validate that tools declared in agents actually exist
Worker Lifecycle Management
Start the worker with a task description (delegates to the vulnerability_assessment-graph agent)
Stop the worker or inject messages mid-execution
Check worker status (idle, running, waiting for input)
Monitor worker health and read execution logs
Escalate critical issues to you with analysis and recommended action
Code Quality
Enforce framework conventions (imports, structure, patterns)
Catch hallucinated tool names before runtime
Validate graph structure, node specs, edges
Self-verify all work before declaring success
I do NOT do: Guess or assume. I read reference code, run discovery commands, and verify every assumption before writing. I surface deal-breakers early. I measure success with validation, not optimism.

What would you like to build or fix?",,,,Tool Use? 
What are you?,Job Hunter ,,"I’m the Queen: your primary coding and agent-building interface in this Hive session.

I can:

Read/edit code and run commands
Build/modify/debug Hive agents end-to-end
Validate and test agents
Manage a background worker specialized for deep web research with citations","I am the Queen—your primary interface for the Hive framework. Technically, I am a coding agent with full access to this project's source code, tools, and the underlying framework infrastructure.

Think of me as your Architect and Lead Developer. My core capabilities include:

Agent Engineering: I can design and build specialized autonomous agents from scratch, following strict framework conventions.
System Orchestration: I manage the lifecycle of ""Worker"" agents. I can delegate specific tasks to them (like the Vulnerability Assessment worker currently available) while I continue to work on other things.
Codebase Mastery: I have direct access to read, write, and execute code within this environment. I can debug existing agents, run test suites, and discover new tools dynamically.
Quality Control: I verify everything I build using structural validation and automated tests before declaring a task complete.
In short: I am the central intelligence that builds and manages the autonomous ecosystem you see here. If you need a new capability, I build it. If you have a specific task, I can either do it myself or deploy a worker to handle it.

What would you like to build or explore first?","I'm the Queen — your primary interface to Hive.

I'm a coding agent with full file I/O, shell execution, and agent-building capabilities. I can read code, write code, run tests, validate agents, and manage the framework.

I also manage the worker — the job_hunter-graph agent that's currently idle. When you have a task that matches the worker's goal (resume analysis, job search, customization), I delegate to it via start_worker(). For everything else — building agents, debugging code, modifications — I do it directly.

You have two agents available:

Me (Queen) — Handles all coding, building, configuration, debugging
Worker (job_hunter-graph) — Handles job hunting workflows
How can I help?","I'm the Queen — a coding agent and your primary interface in the Hive system.

My role:

Primary interface between you and the Hive framework
Build, modify, and debug agents directly
Manage the research worker's lifecycle
Read/write files, run commands, validate and test code
The worker (deep_research_agent) is a specialized subordinate that runs autonomously when delegated research tasks. I can start, stop, monitor, and relay messages to it.

Hierarchy:

You → give instructions
Me → execute directly or delegate to worker
Worker → runs research tasks autonomously
I'm not a chatbot. I'm a coding agent that can actually read your codebase, write files, and build working agents.","I'm the Queen — a coding agent and your primary interface in the Hive system.

My role:

Primary interface between you and the Hive framework
Build, modify, and debug agents directly
Manage the research worker's lifecycle
Read/write files, run commands, validate and test code
The worker (deep_research_agent) is a specialized subordinate that runs autonomously when delegated research tasks. I can start, stop, monitor, and relay messages to it.

Hierarchy:

You → give instructions
Me → execute directly or delegate to worker
Worker → runs research tasks autonomously
I'm not a chatbot. I'm a coding agent that can actually read your codebase, write files, and build working agents.",,Train Model? 
Run this agent,Deep Research Agent,,"Started. I told the worker to run now, proceed through intake, and ask you for any missing details needed to generate the report.",,"Available agents (user-built):

competitive_intel_agent_graph — Competitive Intelligence Digest
inbox_management — Gmail inbox management (3 sessions)
template_agent — Generic template
vulnerability_assessment — Passive security scanning (7 sessions)
Which one? Or did you mean:

Load one as the worker (so you can interact with it) — load_built_agent(""exports/{name}"")
Start it with a specific task — start_worker(""task description"")
Run tests on it — run_agent_tests(""{name}"")
Specify the agent name and what you want to do. Escalation: Stalled Worker Session
Severity: CRITICAL

Issue: Worker session session_20260209_202854_784c9535 (deep_research_agent) has been cancelled and stalled for 16.7 days. Last activity: 2026-02-10 04:30 UTC. Status explicitly marked as cancelled. No new iterations since initialization.

Root cause: The session was explicitly cancelled — likely a previous task that was abandoned or interrupted.

Recommended action: This is not a system failure requiring restart. The session is legitimately terminated. Mark as resolved — no operator intervention needed unless you want to start a fresh research task.

What would you like to do?

Start a fresh worker session — start_worker(""your research topic"")
Inspect the old session — Read its memory/checkpoints to see what happened
Ignore — Session is dead; move forward with new work
Which?",The research agent is ready to run. What topic would you like it to research?,The research agent is ready to run. What topic would you like it to research?,,
Run this agent,Passive Vulnerability Assessment,,,"I have a Vulnerability Assessment worker ready to run. To start it, I just need the domain name of the website you want to assess.

Please provide the website URL or domain (e.g., example.com).

Once you provide the target, I will:

Initialize the worker with your request.
Monitor its progress as it performs passive reconnaissance (SSL, DNS, Tech stack, etc.).
Notify you when it has findings ready for your review.","Queen Bee
Queen
Starting the worker with a task. I need the target website domain.

What domain should the vulnerability assessment scan?",,,,Remove list template tools
Run this template,,,"Which template do you want me to run?

Share one of:

the agent name/path (e.g. exports/some_agent), or
the template file path, or
paste the template content here.
If you mean the deep research worker template, say the research topic and I’ll start it now.","I have access to over 200 tools across categories like Gmail, GitHub, Cal.com, Apollo, and Web Search (Exa).

To ""run this template,"" I need to know:

Which template are you referring to? (e.g., a Research agent, a Personal Assistant, a Gmail manager?)
What should it do? (e.g., ""Summarize my unread emails and add them to a sheet."")
If you give me a brief description, I will design the graph (usually 2-4 nodes), show you the plan, and then implement it for you. What do you have in mind?","I need clarification. Which template would you like me to run?

Agent template — I can generate a complete agent package (config, nodes, graph, tests) in exports/ with a name you choose
Specific reference agent — I can show you an existing agent's structure (e.g., deep_research_agent)
File template — I can create individual files (nodes/init.py, agent.py, etc.)
What's your use case? Describe briefly what the agent should do, and I'll scaffold it for you.",Worker just started. Let me check progress in a moment.,Worker just started. Let me check progress in a moment.,,Remove list template tools
Execute,Deep Research Agent,,"Ready to execute — what should I run?

If you mean the Gmail inbox worker, send:

rules: plain-English actions (e.g., “newsletters → mark read + archive; invoices → star + label Finance”)
max_emails (optional, default 100)",,"I need more information. What should the worker execute?

For the vulnerability assessment agent, provide:

The target website domain (e.g., example.com)
Any specific scan preferences or scope notes
Example: start_worker(""Scan example.com for vulnerabilities using passive OSINT techniques"")

What domain should I scan?","I need more context. What would you like me to execute?

Start the worker on a research task? Tell me the topic.
Build a new agent? Describe what it should do.
Run a command or script? Give me the command.
Something else? Just describe it.","I need more context. What would you like me to execute?

Start the worker on a research task? Tell me the topic.
Build a new agent? Describe what it should do.
Run a command or script? Give me the command.
Something else? Just describe it.",,Remove list template tools
Execute,Passive Vulnerability Assessment,,,"I'm ready to execute, but I need a specific instruction.

If you want to run the existing worker, please provide a domain name:

Example: ""Run the vulnerability scanner on google.com""
If you want me to build and execute a new agent, tell me what it should do:

Example: ""Build an agent that searches for news about AI and saves it to a file.""
What would you like me to start?",,,,,
Hello/Hi,,,"Hello. What would you like to build or fix?/Hi. Share the task, and I’ll handle it.","Hello! I am the Queen. I am ready to help you build or manage agents in the Hive framework.

I currently have a Vulnerability Assessment worker available. If you would like to run a security scan, just provide a domain (e.g., example.com).

Otherwise, tell me what you would like to build or modify, and I'll get to work. What's on your mind?",,Hello. What can I help you with today?,Hello. What can I help you with today?,,
How does this work?,Deep Research Agent,,"You describe a task, and I route it to the right mode:

Research task (topic investigation, sources, synthesis): I start the deep research worker.

It runs: intake → research → review → report
It can search/scrape web sources, save artifacts, and return a cited report.
Engineering task (build agent, edit code, fix tests, debug runtime): I do it directly here.

I read relevant files first, implement changes, then run validation/tests before declaring done.
If you want, give me one concrete task now (research or coding), and I’ll start immediately.",,,"The Hive Framework

This is a system for building and running AI agents. You're talking to me (the Queen), which manages a worker agent and can also do tasks directly.

Worker Agent (deep_research_agent)

The worker runs autonomously on research tasks. Its workflow:

┌─────────┐     ┌──────────┐     ┌────────┐     ┌────────┐
│ intake  │ ──► │ research │ ──► │ review │ ──► │ report │
│ (talk)  │     │ (search) │     │ (talk) │     │ (write)│
└─────────┘     └──────────┘     └────────┘     └────────┘
     ▲                               │              │
     └───────────────────────────────┘              │
                    (revise)                        ▼
                                              [HTML report]
intake: You describe what to research, it clarifies scope
research: Searches web, fetches sources, compiles findings
review: Shows you findings, asks if it should dig deeper or write
report: Produces a cited HTML report
Me (The Queen)

I can:

Start the worker: start_worker(""research quantum computing applications"")
Monitor progress: Check status, health, inject messages
Build agents: Create new agents from scratch
Direct coding: Read files, write code, run commands, debug
How to use this

Research task: Just say ""research [topic]"" — I'll start the worker
Build an agent: Describe a workflow (e.g., ""agent that monitors my email and drafts responses"")
Code task: Ask me to read/write files or run commands
What would you like to do?","The Hive Framework

This is a system for building and running AI agents. You're talking to me (the Queen), which manages a worker agent and can also do tasks directly.

Worker Agent (deep_research_agent)

The worker runs autonomously on research tasks. Its workflow:

┌─────────┐     ┌──────────┐     ┌────────┐     ┌────────┐
│ intake  │ ──► │ research │ ──► │ review │ ──► │ report │
│ (talk)  │     │ (search) │     │ (talk) │     │ (write)│
└─────────┘     └──────────┘     └────────┘     └────────┘
     ▲                               │              │
     └───────────────────────────────┘              │
                    (revise)                        ▼
                                              [HTML report]
intake: You describe what to research, it clarifies scope
research: Searches web, fetches sources, compiles findings
review: Shows you findings, asks if it should dig deeper or write
report: Produces a cited HTML report
Me (The Queen)

I can:

Start the worker: start_worker(""research quantum computing applications"")
Monitor progress: Check status, health, inject messages
Build agents: Create new agents from scratch
Direct coding: Read files, write code, run commands, debug
How to use this

Research task: Just say ""research [topic]"" — I'll start the worker
Build an agent: Describe a workflow (e.g., ""agent that monitors my email and drafts responses"")
Code task: Ask me to read/write files or run commands
What would you like to do?",,
